EventID,Date,Promotion,Event,EventName,EventType,Location,CityTown,StateProvince,Country
WWE-4164,2021-12-03,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1163,Televised,"San Antonio, Texas, USA",San Antonio,Texas,USA
WWE-4163,2021-11-30,WWE,WWE NXT,WWE NXT 2.0 #605,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4162,2021-11-30,WWE,WWE 205 Live,WWE 205 Live #260,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4161,2021-11-29,WWE,WWE Main Event,WWE Main Event #479,Televised,"Elmont, New York, USA",Elmont,New York,USA
WWE-4160,2021-11-29,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1488,Televised,"Elmont, New York, USA",Elmont,New York,USA
WWE-4159,2021-11-28,WWE,WWE Live,WWE Live,Non-Televised,"Charleston, West Virginia, USA",Charleston,West Virginia,USA
WWE-4158,2021-11-27,WWE,WWE Live,WWE Live,Non-Televised,"Roanoke, Virginia, USA",Roanoke,Virginia,USA
WWE-4157,2021-11-26,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1162,Televised,"Greensboro, North Carolina, USA",Greensboro,North Carolina,USA
WWE-4156,2021-11-23,WWE,WWE 205 Live,WWE 205 Live #259,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4155,2021-11-23,WWE,WWE NXT,WWE NXT 2.0 #604,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4154,2021-11-22,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1487,Televised,"New York City, New York, USA",New York City,New York,USA
WWE-4153,2021-11-22,WWE,WWE Main Event,WWE Main Event #478,Televised,"New York City, New York, USA",New York City,New York,USA
WWE-4152,2021-11-21,WWE,WWE Survivor Series,WWE Survivor Series 2021 Kickoff,PLE/PPV,"New York City, New York, USA",New York City,New York,USA
WWE-4151,2021-11-21,WWE,WWE Survivor Series,WWE Survivor Series 2021,PLE/PPV,"New York City, New York, USA",New York City,New York,USA
WWE-4150,2021-11-20,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"Syracuse, New York, USA",Syracuse,New York,USA
WWE-4149,2021-11-19,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1161,Televised,"Hartford, Connecticut, USA",Hartford,Connecticut,USA
WWE-4148,2021-11-18,WWE,WWE NXT UK,WWE NXT UK #179,Televised,"London, England, UK",London,England,UK
WWE-4147,2021-11-18,WWE,WWE NXT UK,WWE NXT UK #178,Televised,"London, England, UK",London,England,UK
WWE-4146,2021-11-18,WWE,WWE NXT UK,WWE NXT UK #175,Televised,"London, England, UK",London,England,UK
WWE-4145,2021-11-18,WWE,WWE NXT UK,WWE NXT UK #180,Televised,"London, England, UK",London,England,UK
WWE-4144,2021-11-18,WWE,WWE NXT UK,WWE NXT UK #181,Televised,"London, England, UK",London,England,UK
WWE-4143,2021-11-17,WWE,WWE NXT UK,WWE NXT UK #174,Televised,"London, England, UK",London,England,UK
WWE-4142,2021-11-17,WWE,WWE NXT UK,WWE NXT UK #173,Televised,"London, England, UK",London,England,UK
WWE-4141,2021-11-17,WWE,WWE NXT UK,WWE NXT UK #172,Televised,"London, England, UK",London,England,UK
WWE-4140,2021-11-16,WWE,WWE NXT,WWE NXT 2.0 #603,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4139,2021-11-16,WWE,WWE 205 Live,WWE 205 Live #258,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4138,2021-11-15,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1486,Televised,"Indianapolis, Indiana, USA",Indianapolis,Indiana,USA
WWE-4137,2021-11-15,WWE,WWE Main Event,WWE Main Event #477,Televised,"Indianapolis, Indiana, USA",Indianapolis,Indiana,USA
WWE-4136,2021-11-12,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1160,Televised,"Norfolk, Virginia, USA",Norfolk,Virginia,USA
WWE-4135,2021-11-10,WWE,WWE WrestleMania,WWE WrestleMania 38 Ticket Party,PLE/PPV,"Arlington, Texas, USA",Arlington,Texas,USA
WWE-4134,2021-11-10,WWE,WWE Live,WWE Live,Non-Televised,"Manchester, England, UK",Manchester,England,UK
WWE-4133,2021-11-09,WWE,WWE Live,WWE Live,Non-Televised,"Nottingham, Nottinghamshire, England, UK",Nottingham,Nottinghamshire,England
WWE-4132,2021-11-09,WWE,WWE 205 Live,WWE 205 Live #257,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4131,2021-11-09,WWE,WWE NXT,WWE NXT 2.0 #602,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4130,2021-11-08,WWE,WWE Main Event,WWE Main Event #476,Televised,"Louisville, Kentucky, USA",Louisville,Kentucky,USA
WWE-4129,2021-11-08,WWE,WWE Live,WWE Live,Non-Televised,"Leeds, West Yorkshire, England, UK",Leeds,West Yorkshire,England
WWE-4128,2021-11-08,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1485,Televised,"Louisville, Kentucky, USA",Louisville,Kentucky,USA
WWE-4127,2021-11-07,WWE,WWE Live,WWE Live,Non-Televised,"Liverpool, Merseyside, England, UK",Liverpool,Merseyside,England
WWE-4126,2021-11-06,WWE,WWE Live Supershow,WWE Live Supershow,Non-Televised,"London, England, UK",London,England,UK
WWE-4125,2021-11-05,WWE,WWE Live,WWE Live,Non-Televised,"Birmingham, West Midlands, England, UK",Birmingham,West Midlands,England
WWE-4124,2021-11-05,WWE,WWE Friday Night SmackDown,WWE Friday Night SmackDown #1159,Televised,"Evansville, Indiana, USA",Evansville,Indiana,USA
WWE-4123,2021-11-04,WWE,WWE Live,WWE Live,Non-Televised,"Sheffield, South Yorkshire, England, UK",Sheffield,South Yorkshire,England
WWE-4122,2021-11-03,WWE,WWE Live,WWE Live,Non-Televised,"Brighton, East Sussex, England, UK",Brighton,East Sussex,England
WWE-4121,2021-11-02,WWE,WWE NXT,WWE NXT 2.0 #601,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4120,2021-11-02,WWE,WWE 205 Live,WWE 205 Live #256,Televised,"Orlando, Florida, USA",Orlando,Florida,USA
WWE-4119,2021-11-01,WWE,WWE Monday Night RAW,WWE Monday Night RAW #1484,Televised,"Providence, Rhode Island, USA",Providence,Rhode Island,USA
